address,#hits
108.175.42.204,434
198.38.110.161,433
198.38.110.150,432
108.175.42.195,431
108.175.42.193,431
208.76.186.54,429
23.246.44.140,429
37.77.187.133,429
108.175.43.155,427
108.175.42.166,426
108.175.42.150,425
108.175.43.199,425
23.246.6.208,425
23.246.45.145,425
62.4.253.179,424
198.38.116.152,424
108.175.42.200,424
108.175.42.155,423
108.175.43.171,422
198.38.111.160,421
62.4.253.183,420
108.175.42.179,419
23.246.7.151,417
108.175.42.169,417
146.115.2.234,416
23.246.30.173,416
108.175.42.159,415
198.38.121.158,415
108.175.42.170,414
23.246.6.197,412
37.77.187.136,412
23.246.45.143,412
23.246.7.130,409
23.246.6.171,409
198.38.110.158,408
108.175.42.198,408
198.38.108.219,407
108.175.43.164,407
198.38.119.161,407
23.246.31.150,402
108.175.43.208,402
108.175.42.167,402
108.175.43.153,402
108.175.42.184,401
108.175.43.157,401
23.246.7.145,401
108.175.43.181,401
108.175.43.206,400
23.246.45.141,399
173.246.157.249,399
23.246.7.139,399
198.38.118.145,398
23.246.14.168,396
23.246.14.161,395
198.38.124.170,395
23.246.14.137,395
198.38.110.160,395
45.57.45.210,395
23.246.6.170,394
198.38.111.151,394
108.175.43.160,394
198.38.110.155,393
173.246.157.204,392
198.38.111.162,392
37.77.187.139,392
108.175.42.174,391
23.246.54.138,390
108.175.43.176,390
108.175.43.177,389
198.38.119.166,389
185.2.222.145,388
198.38.108.223,388
23.246.6.167,387
23.246.15.158,386
23.246.7.167,386
108.175.42.175,385
108.175.39.211,385
173.246.157.203,384
108.175.43.203,384
198.38.99.145,384
146.115.2.226,383
198.38.110.149,383
108.175.42.210,382
108.175.39.215,381
212.56.73.243,379
23.246.2.150,378
37.77.187.130,377
198.38.110.157,376
108.175.43.158,376
23.246.15.168,375
62.4.253.181,375
173.246.157.195,375
23.246.45.149,375
108.175.42.157,374
108.175.42.203,374
198.38.116.145,372
23.246.15.135,372
108.175.42.213,372
108.175.43.189,371
23.246.6.211,370
173.246.157.206,369
108.175.42.164,368
23.246.15.155,367
108.175.43.197,367
108.175.42.188,366
23.246.14.166,366
212.56.73.241,366
173.246.157.205,366
23.246.14.131,365
108.175.42.160,364
23.246.54.139,363
23.246.6.143,363
108.175.42.148,362
31.55.166.103,362
23.246.14.143,362
108.175.43.159,361
173.246.157.253,361
23.246.6.130,360
23.246.7.135,359
23.246.15.138,359
45.57.45.211,359
198.38.118.143,359
108.175.43.207,356
23.246.30.177,356
23.246.31.178,355
23.246.6.139,355
108.175.42.189,354
23.246.14.165,354
198.38.109.160,352
198.38.110.153,351
198.38.111.157,350
173.246.157.254,350
23.246.14.169,349
108.175.42.191,349
198.38.119.165,349
198.38.116.150,348
23.246.31.177,348
198.38.119.168,348
23.246.54.142,348
88.217.233.226,346
23.246.31.148,346
23.246.14.157,346
23.246.31.174,345
23.246.15.169,345
198.38.110.162,345
198.38.111.164,344
23.246.15.139,343
23.246.31.173,343
23.246.14.141,342
62.4.253.175,342
108.175.46.97,341
23.246.6.147,341
23.246.14.158,341
108.175.42.214,340
108.175.43.162,340
108.175.42.173,340
108.175.43.192,339
23.246.6.141,336
90.223.194.203,336
23.246.14.138,335
198.38.116.149,335
108.175.42.212,335
23.246.6.137,335
23.246.14.135,334
23.246.7.143,333
173.246.157.250,333
198.38.108.218,333
23.246.30.175,333
185.2.222.153,331
23.246.15.136,330
108.175.34.205,330
23.246.7.172,330
198.38.111.165,330
108.175.42.209,329
